id,stock_id,stock_name,stock_short,stock_open,stock_close,stock_high,stock_low,stock_volume,update_time
451,4,Microsoft,MSFT,39.34,39.75,39.96,39.05,33968700,"2014-04-12 00:49:18.289676"
452,4,Microsoft,MSFT,40.06,40.4,40.42,39.91,30615800,"2014-04-10 00:49:18.289676"
453,4,Microsoft,MSFT,40.01,40.01,40.2,39.51,36688400,"2014-04-08 00:49:18.289676"
454,4,Microsoft,MSFT,40.13,39.94,40.15,39.79,22221200,"2014-04-06 00:49:18.289676"
455,4,Microsoft,MSFT,39.96,39.99,40.14,39.83,27056700,"2014-04-04 00:49:18.289676"
456,4,Microsoft,MSFT,39.99,39.69,39.99,39.47,24585300,"2014-04-02 00:49:18.289676"
457,4,Microsoft,MSFT,39.74,39.86,39.97,39.3,42132600,"2014-03-31 00:49:18.289676"
458,4,Microsoft,MSFT,40.29,39.91,40.68,39.75,56876800,"2014-03-29 00:49:18.289676"
459,4,Microsoft,MSFT,40.14,40.87,41.29,40.09,50603200,"2014-03-27 00:49:18.289676"
460,4,Microsoft,MSFT,41.1,40.51,41.19,40.39,29636200,"2014-03-25 00:49:18.289676"
461,4,Microsoft,MSFT,40.4,40.4,40.5,40.17,35458700,"2014-03-23 00:49:18.289676"
462,4,Microsoft,MSFT,40.24,40.0,40.36,39.95,28787400,"2014-03-21 00:49:18.289676"
463,1,GOOGLE,GOOG,599.99,567.0,604.83,562.19,146700,"2014-04-30 00:49:23.070380"
464,1,GOOGLE,GOOG,569.85,569.74,587.28,564.13,5085200,"2014-04-28 00:49:23.070380"
465,1,GOOGLE,GOOG,574.65,543.14,577.77,543.0,6351900,"2014-04-26 00:49:23.070380"
466,1,GOOGLE,GOOG,540.74,538.15,548.48,527.15,4389600,"2014-04-24 00:49:23.070380"
467,1,GOOGLE,GOOG,542.6,554.9,555.0,541.61,3142600,"2014-04-22 00:49:23.070380"
468,1,GOOGLE,GOOG,559.62,564.14,565.37,552.95,3321700,"2014-04-20 00:49:23.070380"
469,1,GOOGLE,GOOG,565.0,540.95,565.0,539.9,4025800,"2014-04-18 00:49:23.070380"
470,1,GOOGLE,GOOG,532.55,530.6,540.0,526.53,3914100,"2014-04-16 00:49:23.070380"
471,1,GOOGLE,GOOG,538.25,532.52,544.1,529.56,2568000,"2014-04-14 00:49:23.070380"
472,1,GOOGLE,GOOG,536.82,536.44,538.45,518.46,3844500,"2014-04-12 00:49:23.070380"
473,1,GOOGLE,GOOG,543.0,556.54,557.0,540.0,4879900,"2014-04-10 00:49:23.070380"
474,1,GOOGLE,GOOG,548.81,536.1,549.5,531.15,6790900,"2014-04-08 00:49:23.070380"
475,1,GOOGLE,GOOG,536.1,528.62,536.7,525.6,2559700,"2014-04-06 00:49:23.070380"
476,1,GOOGLE,GOOG,528.64,534.81,537.23,527.51,2358900,"2014-04-04 00:49:23.070380"
477,1,GOOGLE,GOOG,533.79,526.94,533.87,526.25,2046700,"2014-04-02 00:49:23.070380"
478,1,GOOGLE,GOOG,530.07,525.16,531.65,522.12,1878000,"2014-03-31 00:49:23.070380"
479,1,GOOGLE,GOOG,522.51,516.18,524.7,515.42,2094600,"2014-03-29 00:49:23.070380"
480,1,GOOGLE,GOOG,517.18,517.15,518.6,502.8,3326400,"2014-03-27 00:49:23.070380"
481,1,GOOGLE,GOOG,516.9,527.7,529.46,516.32,2691700,"2014-03-25 00:49:23.070380"
482,1,GOOGLE,GOOG,527.6,526.66,528.0,522.52,1746400,"2014-03-23 00:49:23.070380"
483,1,GOOGLE,GOOG,527.11,531.35,532.93,523.88,1900300,"2014-03-21 00:49:23.070380"
484,2,AMAZON,AMZN,345.99,341.96,348.3,340.38,4475500,"2014-04-30 00:49:28.418374"
485,2,AMAZON,AMZN,341.82,333.62,342.5,328.46,6399300,"2014-04-28 00:49:28.418374"
